Rank,Product Name,Title,Gravity,Movement,Initial $/Sale,Av $/Sale,Rebill $,First Seen Date
59,PEAKBIOME,The Most Lucrative Constipation Offer On Clickbank - Peak BioBoost,46.9758,-1.2141,$66.47,$71.19,$3.03,2019-10-16
63,PINEALXT,Pineal XT - Top Converting Pineal Gland and Manifestation Offer,44.4808,-1.3004,$119.74,$119.74,$4.94,2023-05-31
29,DENTICORE,Denticore $4 EPC On Unique Soft Chewables,85.0382,-1.3508,$126.51,$126.51,$0.00,2023-12-14
64,TEABURN,Tea Burn - NEW!!,43.5815,-1.3785,$146.53,$147.97,$148.50,2022-01-06
26,NEOTONICS,Neotonics - $3 EPC On Unique Skin-Gut Gummies,92.6023,-1.4394,$129.50,$129.50,$0.00,2023-03-29
43,ZENEARA,Zeneara - #1 Ear Offer On ClickBank,60.3554,-1.4509,$107.87,$107.87,$0.00,2023-06-05
39,ALPILEAN,Alpilean,64.5844,-1.6255,$135.13,$135.13,$0.00,2022-07-15
70,CEREBROZEN,CerebroZen - Hearing and Brain Health,41.7591,-1.6566,$119.04,$119.04,$0.00,2024-03-06
48,ALLSLIMTEA,All Day Slimming Tea - Over $5M Paid To Affiliates Since We Launched,56.7970,-2.0593,$139.58,$139.58,$0.00,2021-08-03
9,ATTRACTBR,Billionaire Brain Wave - Brand New VSL From 8-Figure Marketer,198.7317,-2.0598,$45.61,$45.73,$1.66,2023-07-05
7,PRODENTIM,ProDentim - Monster In The Dental Niche,212.8024,-2.5768,$129.72,$129.72,$0.00,2022-06-03
11,ZENCORTEX,ZenCortex - New Affiliate Contest!,152.9082,-2.7462,$120.59,$120.59,$0.00,2024-03-22
4,SUGARDEF,Sugar Defender - New Affiliate Contest!,330.7738,-4.0989,$133.62,$133.62,$0.00,2023-12-27
